,Iterations,Avg_mAP,car,bus,motorcycle,Avg_IOU
2,200,0.06,0.17,0.01,0.01,0.0
4,300,8.37,23.22,0.04,1.86,21.76
6,400,16.41,31.44,1.25,16.55,17.7
8,500,41.43,49.97,39.9,34.41,22.49
10,600,45.97,56.15,50.46,31.29,23.28
12,700,45.51,56.41,62.55,17.57,31.22
14,800,71.13,72.03,76.58,64.8,39.99
16,900,45.16,56.54,62.69,16.25,23.14
0,1000,72.41,86.82,58.76,71.66,47.71
3,2000,70.39,89.31,86.93,34.92,46.94
5,3000,83.41,89.7,88.6,71.92,45.75
7,4000,85.86,90.61,87.29,79.67,52.18
9,5000,86.04,93.46,86.19,78.48,53.36
11,6000,83.41,93.65,87.52,69.07,50.97
13,7000,87.71,93.87,89.37,79.9,53.24
15,8000,91.19,95.69,94.12,83.78,57.34
17,9000,80.65,94.1,93.34,54.52,50.18
1,10000,83.74,94.08,91.03,66.1,50.78
